MSA,demoname,reclat,reclong,Population,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>",name
"Blacksburg Christiansburg Radford, VA","Blacksburg Christiansburg Radford, VA",37.22957,-80.4139,181863,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Blacksburg Christiansburg Radford, VA<br><a href=""http://45.35.64.128:8000/details.html?city=Blacksburg Christiansburg Radford, VA"">Link to Page...</a>"
"Bloomington, IL","Bloomington, IL",40.4842,-88.9937,189407,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Bloomington, IL<br><a href=""http://45.35.64.128:8000/details.html?city=Bloomington, IL"">Link to Page...</a>"
"Bloomington, IN","Bloomington, IN",39.16533,-86.5264,165393,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Bloomington, IN<br><a href=""http://45.35.64.128:8000/details.html?city=Bloomington, IN"">Link to Page...</a>"
"Boise City, ID","Boise City, ID",43.61871,-116.215,677346,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Boise City, ID<br><a href=""http://45.35.64.128:8000/details.html?city=Boise City, ID"">Link to Page...</a>"
"Boston Cambridge Newton, MA NH","Boston Cambridge Newton, MA NH",42.35843,-71.0598,4771936,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Boston Cambridge Newton, MA NH<br><a href=""http://45.35.64.128:8000/details.html?city=Boston Cambridge Newton, MA NH"">Link to Page...</a>"
"Boulder, CO","Boulder, CO",40.01499,-105.271,316782,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Boulder, CO<br><a href=""http://45.35.64.128:8000/details.html?city=Boulder, CO"">Link to Page...</a>"
"Bowling Green, KY","Bowling Green, KY",36.96852,-86.4808,169250,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Bowling Green, KY<br><a href=""http://45.35.64.128:8000/details.html?city=Bowling Green, KY"">Link to Page...</a>"
"Bremerton Silverdale, WA","Bremerton Silverdale, WA",47.56732,-122.633,258903,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Bremerton Silverdale, WA<br><a href=""http://45.35.64.128:8000/details.html?city=Bremerton Silverdale, WA"">Link to Page...</a>"
"Bridgeport Stamford Norwalk, CT","Bridgeport Stamford Norwalk, CT",41.18655,-73.1952,947328,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Bridgeport Stamford Norwalk, CT<br><a href=""http://45.35.64.128:8000/details.html?city=Bridgeport Stamford Norwalk, CT"">Link to Page...</a>"
"Brownsville Harlingen, TX","Brownsville Harlingen, TX",25.90175,-97.4975,420201,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Brownsville Harlingen, TX<br><a href=""http://45.35.64.128:8000/details.html?city=Brownsville Harlingen, TX"">Link to Page...</a>"
"Brunswick, GA","Brunswick, GA",31.14995,-81.4915,115939,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Brunswick, GA<br><a href=""http://45.35.64.128:8000/details.html?city=Brunswick, GA"">Link to Page...</a>"
"Buffalo Cheektowaga Niagara Falls, NY","Buffalo Cheektowaga Niagara Falls, NY",42.88645,-78.8784,1136670,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Buffalo Cheektowaga Niagara Falls, NY<br><a href=""http://45.35.64.128:8000/details.html?city=Buffalo Cheektowaga Niagara Falls, NY"">Link to Page...</a>"
"Burlington, NC","Burlington, NC",36.09569,-79.4378,157844,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Burlington, NC<br><a href=""http://45.35.64.128:8000/details.html?city=Burlington, NC"">Link to Page...</a>"
