MSA,demoname,reclat,reclong,Population,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>",name
"Los Angeles Long Beach Anaheim, CA","Los Angeles Long Beach Anaheim, CA",34.05223,-118.244,13261538,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Los Angeles Long Beach Anaheim, CA<br><a href=""http://45.35.64.128:8000/details.html?city=Los Angeles Long Beach Anaheim, CA"">Link to Page...</a>"
"Louisville/Jefferson County, KY IN","Louisville/Jefferson County, KY IN",38.25266,-85.7585,1278203,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Louisville/Jefferson County, KY IN<br><a href=""http://45.35.64.128:8000/details.html?city=Louisville/Jefferson County, KY IN"">Link to Page...</a>"
"Lubbock, TX","Lubbock, TX",33.57786,-101.855,309722,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Lubbock, TX<br><a href=""http://45.35.64.128:8000/details.html?city=Lubbock, TX"">Link to Page...</a>"
"Lynchburg, VA","Lynchburg, VA",37.41375,-79.1422,258995,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Lynchburg, VA<br><a href=""http://45.35.64.128:8000/details.html?city=Lynchburg, VA"">Link to Page...</a>"
"Macon Bibb County, GA","Macon Bibb County, GA",32.84069,-83.6324,229966,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Macon Bibb County, GA<br><a href=""http://45.35.64.128:8000/details.html?city=Macon Bibb County, GA"">Link to Page...</a>"
"Madera, CA","Madera, CA",36.96134,-120.061,154440,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Madera, CA<br><a href=""http://45.35.64.128:8000/details.html?city=Madera, CA"">Link to Page...</a>"
"Madison, WI","Madison, WI",43.07305,-89.4012,640072,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Madison, WI<br><a href=""http://45.35.64.128:8000/details.html?city=Madison, WI"">Link to Page...</a>"
"Manchester Nashua, NH","Manchester Nashua, NH",42.99564,-71.4548,406371,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Manchester Nashua, NH<br><a href=""http://45.35.64.128:8000/details.html?city=Manchester Nashua, NH"">Link to Page...</a>"
"Manhattan, KS","Manhattan, KS",39.18361,-96.5717,98884,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Manhattan, KS<br><a href=""http://45.35.64.128:8000/details.html?city=Manhattan, KS"">Link to Page...</a>"
"Mankato North Mankato, MN","Mankato North Mankato, MN",44.16358,-93.9994,99244,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Mankato North Mankato, MN<br><a href=""http://45.35.64.128:8000/details.html?city=Mankato North Mankato, MN"">Link to Page...</a>"
"Mansfield, OH","Mansfield, OH",40.75839,-82.5154,121533,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Mansfield, OH<br><a href=""http://45.35.64.128:8000/details.html?city=Mansfield, OH"">Link to Page...</a>"
"McAllen Edinburg Mission, TX","McAllen Edinburg Mission, TX",26.20341,-98.23,839539,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","McAllen Edinburg Mission, TX<br><a href=""http://45.35.64.128:8000/details.html?city=McAllen Edinburg Mission, TX"">Link to Page...</a>"
"Medford, OR","Medford, OR",42.32652,-122.876,212070,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Medford, OR<br><a href=""http://45.35.64.128:8000/details.html?city=Medford, OR"">Link to Page...</a>"
"Memphis, TN MS AR","Memphis, TN MS AR",35.14953,-90.049,1344058,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Memphis, TN MS AR<br><a href=""http://45.35.64.128:8000/details.html?city=Memphis, TN MS AR"">Link to Page...</a>"
"Merced, CA","Merced, CA",37.30216,-120.483,267390,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Merced, CA<br><a href=""http://45.35.64.128:8000/details.html?city=Merced, CA"">Link to Page...</a>"
"Miami Fort Lauderdale West Palm Beach, FL","Miami Fort Lauderdale West Palm Beach, FL",25.7891,-80.204,6019790,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Miami Fort Lauderdale West Palm Beach, FL<br><a href=""http://45.35.64.128:8000/details.html?city=Miami Fort Lauderdale West Palm Beach, FL"">Link to Page...</a>"
"Michigan City La Porte, IN","Michigan City La Porte, IN",41.70754,-86.895,110839,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Michigan City La Porte, IN<br><a href=""http://45.35.64.128:8000/details.html?city=Michigan City La Porte, IN"">Link to Page...</a>"
"Midland, TX","Midland, TX",31.99735,-102.078,165430,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Midland, TX<br><a href=""http://45.35.64.128:8000/details.html?city=Midland, TX"">Link to Page...</a>"
"Milwaukee Waukesha West Allis, WI","Milwaukee Waukesha West Allis, WI",43.0389,-87.9065,1575101,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Milwaukee Waukesha West Allis, WI<br><a href=""http://45.35.64.128:8000/details.html?city=Milwaukee Waukesha West Allis, WI"">Link to Page...</a>"
"Minneapolis St. Paul Bloomington, MN WI","Minneapolis St. Paul Bloomington, MN WI",44.98333,-93.2667,3526149,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Minneapolis St. Paul Bloomington, MN WI<br><a href=""http://45.35.64.128:8000/details.html?city=Minneapolis St. Paul Bloomington, MN WI"">Link to Page...</a>"
"Missoula, MT","Missoula, MT",46.8625,-114.012,114231,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Missoula, MT<br><a href=""http://45.35.64.128:8000/details.html?city=Missoula, MT"">Link to Page...</a>"
"Mobile, AL","Mobile, AL",30.69537,-88.0399,414328,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Mobile, AL<br><a href=""http://45.35.64.128:8000/details.html?city=Mobile, AL"">Link to Page...</a>"
"Modesto, CA","Modesto, CA",37.6391,-120.997,535684,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Modesto, CA<br><a href=""http://45.35.64.128:8000/details.html?city=Modesto, CA"">Link to Page...</a>"
"Monroe, LA","Monroe, LA",32.50931,-92.1193,178970,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Monroe, LA<br><a href=""http://45.35.64.128:8000/details.html?city=Monroe, LA"">Link to Page...</a>"
"Monroe, MI","Monroe, MI",41.91643,-83.3977,149619,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Monroe, MI<br><a href=""http://45.35.64.128:8000/details.html?city=Monroe, MI"">Link to Page...</a>"
"Montgomery, AL","Montgomery, AL",32.36681,-86.3,373507,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Montgomery, AL<br><a href=""http://45.35.64.128:8000/details.html?city=Montgomery, AL"">Link to Page...</a>"
"Morgantown, WV","Morgantown, WV",39.62953,-79.9559,137475,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Morgantown, WV<br><a href=""http://45.35.64.128:8000/details.html?city=Morgantown, WV"">Link to Page...</a>"
"Morristown, TN","Morristown, TN",36.21398,-83.2949,116352,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Morristown, TN<br><a href=""http://45.35.64.128:8000/details.html?city=Morristown, TN"">Link to Page...</a>"
"Mount Vernon Anacortes, WA","Mount Vernon Anacortes, WA",48.42122,-122.334,121725,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Mount Vernon Anacortes, WA<br><a href=""http://45.35.64.128:8000/details.html?city=Mount Vernon Anacortes, WA"">Link to Page...</a>"
"Muncie, IN","Muncie, IN",40.19338,-85.3864,115938,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Muncie, IN<br><a href=""http://45.35.64.128:8000/details.html?city=Muncie, IN"">Link to Page...</a>"
"Muskegon, MI","Muskegon, MI",43.23418,-86.2484,172707,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Muskegon, MI<br><a href=""http://45.35.64.128:8000/details.html?city=Muskegon, MI"">Link to Page...</a>"
"Myrtle Beach Conway North Myrtle Beach, SC NC","Myrtle Beach Conway North Myrtle Beach, SC NC",33.68906,-78.8867,432772,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Myrtle Beach Conway North Myrtle Beach, SC NC<br><a href=""http://45.35.64.128:8000/details.html?city=Myrtle Beach Conway North Myrtle Beach, SC NC"">Link to Page...</a>"
"Napa, CA","Napa, CA",38.29754,-122.287,141005,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Napa, CA<br><a href=""http://45.35.64.128:8000/details.html?city=Napa, CA"">Link to Page...</a>"
"Naples Immokalee Marco Island, FL","Naples Immokalee Marco Island, FL",26.14204,-81.7948,356774,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Naples Immokalee Marco Island, FL<br><a href=""http://45.35.64.128:8000/details.html?city=Naples Immokalee Marco Island, FL"">Link to Page...</a>"
"Nashville Davidson  Murfreesboro  Franklin, TN","Nashville Davidson Murfreesboro Franklin, TN",36.16667,-86.7833,1830410,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Nashville Davidson  Murfreesboro  Franklin, TN<br><a href=""http://45.35.64.128:8000/details.html?city=Nashville Davidson  Murfreesboro  Franklin, TN"">Link to Page...</a>"
"New Haven Milford, CT","New Haven Milford, CT",41.30827,-72.9279,862127,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","New Haven Milford, CT<br><a href=""http://45.35.64.128:8000/details.html?city=New Haven Milford, CT"">Link to Page...</a>"
"New Orleans Metairie, LA","New Orleans Metairie, LA",29.95107,-90.0715,1260660,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","New Orleans Metairie, LA<br><a href=""http://45.35.64.128:8000/details.html?city=New Orleans Metairie, LA"">Link to Page...</a>"
"New York Newark Jersey City, NY NJ PA","New York Newark Jersey City, NY NJ PA",40.71278,-74.0059,20192042,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","New York Newark Jersey City, NY NJ PA<br><a href=""http://45.35.64.128:8000/details.html?city=New York Newark Jersey City, NY NJ PA"">Link to Page...</a>"
"Niles Benton Harbor, MI","Niles Benton Harbor, MI",41.82977,-86.2542,154948,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Niles Benton Harbor, MI<br><a href=""http://45.35.64.128:8000/details.html?city=Niles Benton Harbor, MI"">Link to Page...</a>"
"North Port Sarasota Bradenton, FL","North Port Sarasota Bradenton, FL",27.04422,-82.2359,768381,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","North Port Sarasota Bradenton, FL<br><a href=""http://45.35.64.128:8000/details.html?city=North Port Sarasota Bradenton, FL"">Link to Page...</a>"
"Norwich New London, CT","Norwich New London, CT",41.52426,-72.0759,270772,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Norwich New London, CT<br><a href=""http://45.35.64.128:8000/details.html?city=Norwich New London, CT"">Link to Page...</a>"
"Ocala, FL","Ocala, FL",29.1872,-82.1401,343778,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Ocala, FL<br><a href=""http://45.35.64.128:8000/details.html?city=Ocala, FL"">Link to Page...</a>"
"Ocean City, NJ","Ocean City, NJ",39.27762,-74.5746,94549,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Ocean City, NJ<br><a href=""http://45.35.64.128:8000/details.html?city=Ocean City, NJ"">Link to Page...</a>"
"Odessa, TX","Odessa, TX",31.84568,-102.368,155744,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Odessa, TX<br><a href=""http://45.35.64.128:8000/details.html?city=Odessa, TX"">Link to Page...</a>"
"Ogden Clearfield, UT","Ogden Clearfield, UT",41.223,-111.974,642274,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Ogden Clearfield, UT<br><a href=""http://45.35.64.128:8000/details.html?city=Ogden Clearfield, UT"">Link to Page...</a>"
"Oklahoma City, OK","Oklahoma City, OK",35.46756,-97.5164,1353504,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Oklahoma City, OK<br><a href=""http://45.35.64.128:8000/details.html?city=Oklahoma City, OK"">Link to Page...</a>"
"Olympia Tumwater, WA","Olympia Tumwater, WA",47.03787,-122.901,269885,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Olympia Tumwater, WA<br><a href=""http://45.35.64.128:8000/details.html?city=Olympia Tumwater, WA"">Link to Page...</a>"
"Omaha Council Bluffs, NE IA","Omaha Council Bluffs, NE IA",41.25236,-95.998,914190,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Omaha Council Bluffs, NE IA<br><a href=""http://45.35.64.128:8000/details.html?city=Omaha Council Bluffs, NE IA"">Link to Page...</a>"
"Orlando Kissimmee Sanford, FL","Orlando Kissimmee Sanford, FL",28.53834,-81.3792,2390859,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Orlando Kissimmee Sanford, FL<br><a href=""http://45.35.64.128:8000/details.html?city=Orlando Kissimmee Sanford, FL"">Link to Page...</a>"
"Oshkosh Neenah, WI","Oshkosh Neenah, WI",44.02471,-88.5426,169540,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Oshkosh Neenah, WI<br><a href=""http://45.35.64.128:8000/details.html?city=Oshkosh Neenah, WI"">Link to Page...</a>"
"Owensboro, KY","Owensboro, KY",37.77191,-87.1112,117319,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Owensboro, KY<br><a href=""http://45.35.64.128:8000/details.html?city=Owensboro, KY"">Link to Page...</a>"
"Oxnard Thousand Oaks Ventura, CA","Oxnard Thousand Oaks Ventura, CA",34.1975,-119.177,847834,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Oxnard Thousand Oaks Ventura, CA<br><a href=""http://45.35.64.128:8000/details.html?city=Oxnard Thousand Oaks Ventura, CA"">Link to Page...</a>"
"Palm Bay Melbourne Titusville, FL","Palm Bay Melbourne Titusville, FL",28.03446,-80.5887,568183,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Palm Bay Melbourne Titusville, FL<br><a href=""http://45.35.64.128:8000/details.html?city=Palm Bay Melbourne Titusville, FL"">Link to Page...</a>"
"Panama City, FL","Panama City, FL",30.15881,-85.6602,196135,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Panama City, FL<br><a href=""http://45.35.64.128:8000/details.html?city=Panama City, FL"">Link to Page...</a>"
"Parkersburg Vienna, WV","Parkersburg Vienna, WV",39.26674,-81.5615,91816,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Parkersburg Vienna, WV<br><a href=""http://45.35.64.128:8000/details.html?city=Parkersburg Vienna, WV"">Link to Page...</a>"
"Pensacola Ferry Pass Brent, FL","Pensacola Ferry Pass Brent, FL",30.42131,-87.2169,476702,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Pensacola Ferry Pass Brent, FL<br><a href=""http://45.35.64.128:8000/details.html?city=Pensacola Ferry Pass Brent, FL"">Link to Page...</a>"
"Peoria, IL","Peoria, IL",40.69365,-89.589,377258,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Peoria, IL<br><a href=""http://45.35.64.128:8000/details.html?city=Peoria, IL"">Link to Page...</a>"
"Philadelphia Camden Wilmington, PA NJ DE MD","Philadelphia Camden Wilmington, PA NJ DE MD",39.95234,-75.1638,6065644,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Philadelphia Camden Wilmington, PA NJ DE MD<br><a href=""http://45.35.64.128:8000/details.html?city=Philadelphia Camden Wilmington, PA NJ DE MD"">Link to Page...</a>"
"Phoenix Mesa Scottsdale, AZ","Phoenix Mesa Scottsdale, AZ",33.44838,-112.074,4561038,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Phoenix Mesa Scottsdale, AZ<br><a href=""http://45.35.64.128:8000/details.html?city=Phoenix Mesa Scottsdale, AZ"">Link to Page...</a>"
"Pine Bluff, AR","Pine Bluff, AR",34.22843,-92.0032,93590,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Pine Bluff, AR<br><a href=""http://45.35.64.128:8000/details.html?city=Pine Bluff, AR"">Link to Page...</a>"
"Pittsburgh, PA","Pittsburgh, PA",40.44062,-79.9959,2348143,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Pittsburgh, PA<br><a href=""http://45.35.64.128:8000/details.html?city=Pittsburgh, PA"">Link to Page...</a>"
"Pittsfield, MA","Pittsfield, MA",42.45008,-73.2454,127751,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Pittsfield, MA<br><a href=""http://45.35.64.128:8000/details.html?city=Pittsfield, MA"">Link to Page...</a>"
"Pocatello, ID","Pocatello, ID",42.8713,-112.446,84113,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Pocatello, ID<br><a href=""http://45.35.64.128:8000/details.html?city=Pocatello, ID"">Link to Page...</a>"
"Portland South Portland, ME","Portland South Portland, ME",27.27305,-80.3582,525776,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Portland South Portland, ME<br><a href=""http://45.35.64.128:8000/details.html?city=Portland South Portland, ME"">Link to Page...</a>"
"Portland Vancouver Hillsboro, OR WA","Portland Vancouver Hillsboro, OR WA",43.66147,-70.2553,2382037,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Portland Vancouver Hillsboro, OR WA<br><a href=""http://45.35.64.128:8000/details.html?city=Portland Vancouver Hillsboro, OR WA"">Link to Page...</a>"
"Port St. Lucie, FL","Port St. Lucie, FL",45.52345,-122.676,454482,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Port St. Lucie, FL<br><a href=""http://45.35.64.128:8000/details.html?city=Port St. Lucie, FL"">Link to Page...</a>"
"Prescott, AZ","Prescott, AZ",34.54002,-112.469,220972,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Prescott, AZ<br><a href=""http://45.35.64.128:8000/details.html?city=Prescott, AZ"">Link to Page...</a>"
"Providence Warwick, RI MA","Providence Warwick, RI MA",41.82399,-71.4128,1613154,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Providence Warwick, RI MA<br><a href=""http://45.35.64.128:8000/details.html?city=Providence Warwick, RI MA"">Link to Page...</a>"
"Provo Orem, UT","Provo Orem, UT",40.23384,-111.659,587190,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Provo Orem, UT<br><a href=""http://45.35.64.128:8000/details.html?city=Provo Orem, UT"">Link to Page...</a>"
"Pueblo, CO","Pueblo, CO",38.25445,-104.609,163368,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Pueblo, CO<br><a href=""http://45.35.64.128:8000/details.html?city=Pueblo, CO"">Link to Page...</a>"
"Punta Gorda, FL","Punta Gorda, FL",26.92978,-82.0454,173236,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Punta Gorda, FL<br><a href=""http://45.35.64.128:8000/details.html?city=Punta Gorda, FL"">Link to Page...</a>"
"Racine, WI","Racine, WI",42.72613,-87.7829,195101,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Racine, WI<br><a href=""http://45.35.64.128:8000/details.html?city=Racine, WI"">Link to Page...</a>"
"Raleigh, NC","Raleigh, NC",35.77959,-78.6382,1273985,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Raleigh, NC<br><a href=""http://45.35.64.128:8000/details.html?city=Raleigh, NC"">Link to Page...</a>"
"Rapid City, SD","Rapid City, SD",44.08054,-103.231,143711,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Rapid City, SD<br><a href=""http://45.35.64.128:8000/details.html?city=Rapid City, SD"">Link to Page...</a>"
"Reading, PA","Reading, PA",40.33565,-75.9269,415500,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Reading, PA<br><a href=""http://45.35.64.128:8000/details.html?city=Reading, PA"">Link to Page...</a>"
"Redding, CA","Redding, CA",40.58654,-122.392,178919,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Redding, CA<br><a href=""http://45.35.64.128:8000/details.html?city=Redding, CA"">Link to Page...</a>"
"Reno, NV","Reno, NV",39.52963,-119.814,449442,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Reno, NV<br><a href=""http://45.35.64.128:8000/details.html?city=Reno, NV"">Link to Page...</a>"
"Richmond, VA","Richmond, VA",37.54072,-77.436,1270158,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Richmond, VA<br><a href=""http://45.35.64.128:8000/details.html?city=Richmond, VA"">Link to Page...</a>"
"Riverside San Bernardino Ontario, CA","Riverside San Bernardino Ontario, CA",33.95335,-117.396,4476222,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Riverside San Bernardino Ontario, CA<br><a href=""http://45.35.64.128:8000/details.html?city=Riverside San Bernardino Ontario, CA"">Link to Page...</a>"
"Roanoke, VA","Roanoke, VA",37.27097,-79.9414,313069,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Roanoke, VA<br><a href=""http://45.35.64.128:8000/details.html?city=Roanoke, VA"">Link to Page...</a>"
"Rochester, MN","Rochester, MN",44.0234,-92.463,214485,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Rochester, MN<br><a href=""http://45.35.64.128:8000/details.html?city=Rochester, MN"">Link to Page...</a>"
"Rochester, NY","Rochester, NY",43.16103,-77.6109,1080653,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Rochester, NY<br><a href=""http://45.35.64.128:8000/details.html?city=Rochester, NY"">Link to Page...</a>"
"Rockford, IL","Rockford, IL",42.27113,-89.094,341150,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Rockford, IL<br><a href=""http://45.35.64.128:8000/details.html?city=Rockford, IL"">Link to Page...</a>"
"Rocky Mount, NC","Rocky Mount, NC",35.93821,-77.7905,148157,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Rocky Mount, NC<br><a href=""http://45.35.64.128:8000/details.html?city=Rocky Mount, NC"">Link to Page...</a>"
"Rome, GA","Rome, GA",34.25704,-85.1647,96471,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Rome, GA<br><a href=""http://45.35.64.128:8000/details.html?city=Rome, GA"">Link to Page...</a>"
"Sacramento  Roseville  Arden Arcade, CA","Sacramento Roseville Arden Arcade, CA",38.58157,-121.494,2268005,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Sacramento  Roseville  Arden Arcade, CA<br><a href=""http://45.35.64.128:8000/details.html?city=Sacramento  Roseville  Arden Arcade, CA"">Link to Page...</a>"
Saginaw,"Saginaw, MI",43.41947,-83.9508,193803,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Saginaw<br><a href=""http://45.35.64.128:8000/details.html?city=Saginaw"">Link to Page...</a>"
Salem,"Salem, OR",44.9429,-123.035,410119,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Salem<br><a href=""http://45.35.64.128:8000/details.html?city=Salem"">Link to Page...</a>"
Salinas,"Salinas, CA",36.67774,-121.656,433168,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Salinas<br><a href=""http://45.35.64.128:8000/details.html?city=Salinas"">Link to Page...</a>"
Salisbury,"Salisbury, MD",38.36067,-75.5994,394925,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Salisbury<br><a href=""http://45.35.64.128:8000/details.html?city=Salisbury"">Link to Page...</a>"
Salt Lake City,"Salt Lake City, UT",40.76078,-111.891,1170057,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Salt Lake City<br><a href=""http://45.35.64.128:8000/details.html?city=Salt Lake City"">Link to Page...</a>"
San Angelo,"San Angelo, TX",31.46377,-100.437,118498,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","San Angelo<br><a href=""http://45.35.64.128:8000/details.html?city=San Angelo"">Link to Page...</a>"
San Antonio New Braunfels,"San Antonio New Braunfels, TX",29.42412,-98.4936,2377507,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","San Antonio New Braunfels<br><a href=""http://45.35.64.128:8000/details.html?city=San Antonio New Braunfels"">Link to Page...</a>"
San Diego Carlsbad,"San Diego Carlsbad, CA",32.71574,-117.161,3283665,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","San Diego Carlsbad<br><a href=""http://45.35.64.128:8000/details.html?city=San Diego Carlsbad"">Link to Page...</a>"
San Francisco Oakland Hayward,"San Francisco Oakland Hayward, CA",37.77493,-122.419,4641820,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","San Francisco Oakland Hayward<br><a href=""http://45.35.64.128:8000/details.html?city=San Francisco Oakland Hayward"">Link to Page...</a>"
San Jose Sunnyvale Santa Clara,"San Jose Sunnycitye Santa Clara, CA",37.33939,-121.895,1969897,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","San Jose Sunnyvale Santa Clara<br><a href=""http://45.35.64.128:8000/details.html?city=San Jose Sunnyvale Santa Clara"">Link to Page...</a>"
San Luis Obispo Paso Robles Arroyo Grande,"San Luis Obispo Paso Robles Arroyo Grande, CA",35.28275,-120.66,280119,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","San Luis Obispo Paso Robles Arroyo Grande<br><a href=""http://45.35.64.128:8000/details.html?city=San Luis Obispo Paso Robles Arroyo Grande"">Link to Page...</a>"
Santa Cruz Watsonville,"Santa Cruz Watsonville, CA",36.97412,-122.031,273263,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Santa Cruz Watsonville<br><a href=""http://45.35.64.128:8000/details.html?city=Santa Cruz Watsonville"">Link to Page...</a>"
